U(k),U(k-1),U(k-2),U(k-3),Y(k),Y(k-1),Y(k-2),Y(k-3)
-0.602023938,0.34662118,0.976584383,0.708680408,0.448565997,0.422357078,0.590641688,0.788589717
-0.997171023,-0.602023938,0.34662118,0.976584383,0.621652319,0.448565997,0.422357078,0.590641688
-0.475523669,-0.997171023,-0.602023938,0.34662118,0.796925383,0.621652319,0.448565997,0.422357078
0.483317954,-0.475523669,-0.997171023,-0.602023938,0.819992724,0.796925383,0.621652319,0.448565997
0.997799279,0.483317954,-0.475523669,-0.997171023,0.65390718,0.819992724,0.796925383,0.621652319
0.594908548,0.997799279,0.483317954,-0.475523669,0.454016206,0.65390718,0.819992724,0.796925383
-0.354938358,0.594908548,0.997799279,0.483317954,0.42054309,0.454016206,0.65390718,0.819992724
-0.978456575,-0.354938358,0.594908548,0.997799279,0.565823482,0.42054309,0.454016206,0.65390718
-0.702386329,-0.978456575,-0.354938358,0.594908548,0.756581981,0.565823482,0.42054309,0.454016206
0.219454668,-0.702386329,-0.978456575,-0.354938358,0.834866972,0.756581981,0.565823482,0.42054309
0.939530056,0.219454668,-0.702386329,-0.978456575,0.714044751,0.834866972,0.756581981,0.565823482
0.795805843,0.939530056,0.219454668,-0.702386329,0.500507783,0.714044751,0.834866972,0.756581981
-0.079578592,0.795805843,0.939530056,0.219454668,0.407804661,0.500507783,0.714044751,0.834866972
-0.881798836,-0.079578592,0.795805843,0.939530056,0.513749688,0.407804661,0.500507783,0.714044751
-0.873297297,-0.881798836,-0.079578592,0.795805843,0.706826528,0.513749688,0.407804661,0.500507783
-0.061890251,-0.873297297,-0.881798836,-0.079578592,0.832399248,0.706826528,0.513749688,0.407804661
0.806418407,-0.061890251,-0.873297297,-0.881798836,0.765904274,0.832399248,0.706826528,0.513749688
0.9333097,0.806418407,-0.061890251,-0.873297297,0.557684014,0.765904274,0.832399248,0.706826528
0.202120359,0.9333097,0.806418407,-0.061890251,0.412515907,0.557684014,0.765904274,0.832399248
-0.714897508,0.202120359,0.9333097,0.806418407,0.468596145,0.412515907,0.557684014,0.765904274
-0.974641903,-0.714897508,0.202120359,0.9333097,0.651731169,0.468596145,0.412515907,0.557684014
-0.338305028,-0.974641903,-0.714897508,0.202120359,0.813241712,0.651731169,0.468596145,0.412515907
0.60906793,-0.338305028,-0.974641903,-0.714897508,0.805256944,0.813241712,0.651731169,0.468596145
0.996466642,0.60906793,-0.338305028,-0.974641903,0.620334048,0.805256944,0.813241712,0.651731169
0.467718518,0.996466642,0.60906793,-0.338305028,0.435146328,0.620334048,0.805256944,0.813241712
-0.491047854,0.467718518,0.996466642,0.60906793,0.43371554,0.435146328,0.620334048,0.805256944
-0.998347094,-0.491047854,0.467718518,0.996466642,0.595216012,0.43371554,0.435146328,0.620334048
-0.58777062,-0.998347094,-0.491047854,0.467718518,0.779435823,0.595216012,0.43371554,0.435146328
0.363199451,-0.58777062,-0.998347094,-0.491047854,0.829106922,0.779435823,0.595216012,0.43371554
0.980245622,0.363199451,-0.58777062,-0.998347094,0.682816466,0.829106922,0.779435823,0.595216012
0.696058488,0.980245622,0.363199451,-0.58777062,0.474182803,0.682816466,0.829106922,0.779435823
-0.228081609,0.696058488,0.980245622,0.363199451,0.412503976,0.474182803,0.682816466,0.829106922
-0.942524527,-0.228081609,0.696058488,0.980245622,0.54075596,0.412503976,0.474182803,0.682816466
-0.790414741,-0.942524527,-0.228081609,0.696058488,0.734185723,0.54075596,0.412503976,0.474182803
0.088398712,-0.790414741,-0.942524527,-0.228081609,0.835863607,0.734185723,0.54075596,0.412503976
0.885938798,0.088398712,-0.790414741,-0.942524527,0.73966786,0.835863607,0.734185723,0.54075596
0.868950838,0.885938798,0.088398712,-0.790414741,0.526278439,0.73966786,0.835863607,0.734185723
0.053053485,0.868950838,0.885938798,0.088398712,0.407766567,0.526278439,0.73966786,0.835863607
-0.811620997,0.053053485,0.868950838,0.885938798,0.491523746,0.407766567,0.526278439,0.73966786
-0.930094878,-0.811620997,0.053053485,0.868950838,0.681417879,0.491523746,0.407766567,0.526278439
-0.193443817,-0.930094878,-0.811620997,0.053053485,0.825403661,0.681417879,0.491523746,0.407766567
0.721058597,-0.193443817,-0.930094878,-0.811620997,0.78612183,0.825403661,0.681417879,0.491523746
0.972623062,0.721058597,-0.193443817,-0.930094878,0.58671041,0.78612183,0.825403661,0.681417879
0.32996237,0.972623062,0.721058597,-0.193443817,0.420938399,0.58671041,0.78612183,0.825403661
-0.616064204,0.32996237,0.972623062,0.721058597,0.450755514,0.420938399,0.58671041,0.78612183
-0.99568419,-0.616064204,0.32996237,0.972623062,0.625194233,0.450755514,0.420938399,0.58671041
-0.459876723,-0.99568419,-0.616064204,0.32996237,0.799047145,0.625194233,0.450755514,0.420938399
0.498739282,-0.459876723,-0.99568419,-0.616064204,0.81849764,0.799047145,0.625194233,0.450755514
0.998816691,0.498739282,-0.459876723,-0.99568419,0.649986869,0.81849764,0.799047145,0.625194233
0.580586641,0.998816691,0.498739282,-0.459876723,0.451567082,0.649986869,0.81849764,0.799047145
-0.371432089,0.580586641,0.998816691,0.498739282,0.42187662,0.451567082,0.649986869,0.81849764
-0.98195787,-0.371432089,0.580586641,0.998816691,0.569236061,0.42187662,0.451567082,0.649986869
-0.689676113,-0.98195787,-0.371432089,0.580586641,0.759421086,0.569236061,0.42187662,0.451567082
0.236690681,-0.689676113,-0.98195787,-0.371432089,0.834444275,0.759421086,0.569236061,0.42187662
0.945445155,0.236690681,-0.689676113,-0.98195787,0.710478302,0.834444275,0.759421086,0.569236061
0.784961713,0.945445155,0.236690681,-0.689676113,0.497238677,0.710478302,0.834444275,0.759421086
-0.097211908,0.784961713,0.945445155,0.236690681,0.408104694,0.497238677,0.710478302,0.834444275
-0.890009349,-0.097211908,0.784961713,0.945445155,0.516835702,0.408104694,0.497238677,0.710478302
-0.864536299,-0.890009349,-0.097211908,0.784961713,0.710135913,0.516835702,0.408104694,0.497238677
-0.044212563,-0.864536299,-0.890009349,-0.097211908,0.833056594,0.710135913,0.516835702,0.408104694
0.81676,-0.044212563,-0.864536299,-0.890009349,0.762990662,0.833056594,0.710135913,0.516835702
0.926807186,0.81676,-0.044212563,-0.864536299,0.553891775,0.762990662,0.833056594,0.710135913
0.184752119,0.926807186,0.81676,-0.044212563,0.411691336,0.553891775,0.762990662,0.833056594
-0.727163193,0.184752119,0.926807186,0.81676,0.471153713,0.411691336,0.553891775,0.762990662
-0.97052802,-0.727163193,0.184752119,0.926807186,0.655255577,0.471153713,0.411691336,0.553891775
-0.32159386,-0.97052802,-0.727163193,0.184752119,0.814896253,0.655255577,0.471153713,0.411691336
0.623012211,-0.32159386,-0.97052802,-0.727163193,0.803226894,0.814896253,0.655255577,0.471153713
